,pageids,terms,titles,terRms
21,"['3474864', '60209', '25408281', '207036', '4637216', '61593', '29940688', '238806', '2938935', '22834821', '23853072', '140970', '971658', '2846331', '2835132', '24412585', '26822817', '1079203', '21116621', '20746022', '37220', '211644', '31032207', '217387', '314911', '6090525', '19827803', '3400261', '45625993', '1653221', '28147113', '43937', '147484', '287207', '191304', '60212', '1882715', '355522', '61970', '889672', '17048535', '20104627', '20437622', '8730977', '52846745', '240559', '30873042', '8072', '20500045', '1554770', '14499186', '24151', '322289', '152972', '27336812', '1339605', '8387592', '244992', '20105022', '53631421', '217438', '26456244', '20539076', '884829']",,"['Fish diseases and parasites', 'Human parasite', 'Parasitism', 'Effects of parasitic worms on the immune system', 'Intestinal parasite', 'Helminths', 'Tropical disease', 'Parasite load', 'Obligate parasite', 'Parasitic nutrition', 'Eosinophilic pneumonia', 'Parasite increased trophic transmission', 'Diseases of poverty', 'Mite', 'Tetracapsuloides bryosalmonae', 'Trematoda', 'Schistosomiasis', 'Conservation biology of parasites', 'Neglected tropical diseases', 'Acanthocheilonemiasis', 'Histomoniasis', 'Plasmodium', 'Hematodinium', 'Helminthiasis', 'Strongyloides stercoralis', 'Plant pathology', 'Giardia', 'Trichuriasis', 'Nematode', 'Helminthic therapy', 'Hookworm vaccine', 'Echinococcosis', 'Hookworm infection', 'Lernaeocera branchialis', 'Infection', 'Ascaris lumbricoides', 'Myxozoa', 'Eosinophilia', 'Filarioidea', 'Copepod', 'Ichthyophthirius multifiliis', 'Toxocariasis', 'Flatworm', 'Eradication of infectious diseases', 'Kinetoplastida', 'Disease', 'Paleoparasitology', 'Thelaziasis', 'Cospeciation', 'Archaeoparasitology', 'Parasitic flies of domestic animals', 'Parasitoid', 'Nodding disease', 'Raillietina', 'Delusional parasitosis', 'Dientamoeba fragilis', 'Melarsoprol', 'Clonally transmissible cancer', 'Dog skin disorders', 'Oomycete', 'Capillaria hepatica', 'Klaus Rohde', 'Angiostrongylus cantonensis', 'Disease in colonial America']",Parasites and Parasitic Diseases
22,"['4211667', '7863675', '3330375', '793631', '21053458', '45570', '876719', '26322963', '17032622', '9915335', '147473', '12947073', '21053651', '87175', '14368179', '1045705', '21053550', '3868809', '21053494', '37568575', '43846561', '21053304', '5205924', '8866863', '16179834', '44441540', '221998', '3941121', '32473', '3972534', '7086695', '13107678', '3296243', '32653', '35926498', '1742315', '6952874', '3976905', '1065730', '31287100', '964266', '929970', '10173410', '4699451', '29735583', '9901652', '45831']",,"['Expanded Program on Immunization', 'Vaccines for Children Program', 'Vaccination schedule', 'DPT vaccine', 'Vaccine', 'Pneumococcal vaccine', 'Advisory Committee on Immunization Practices', 'Vaccine controversies', 'Pertussis vaccine', 'Cholera vaccine', 'Anthrax vaccines', 'Meningococcal vaccine', 'Vaccine injury', 'Targeted immunization strategies', 'Vaccination', 'Anthrax Vaccine Immunization Program', 'Hepatitis B vaccine', 'DNA vaccination', 'Influenza vaccine', 'HIV vaccine', 'Rabies vaccine', 'Measles vaccine', 'Vaccine court', 'Pneumococcal conjugate vaccine', 'Cancer vaccine', 'Pentavalent vaccine', 'Vaccination policy', 'Thiomersal controversy', 'Thiomersal', 'European Immunization Week', 'Vaccine bundling', 'Immunocontraception', 'Hepatitis C vaccine', 'Vaccine trial', 'Vaccination and religion', 'Meningococcal disease', 'Herd immunity', 'Vaccination of dogs', 'HIV Vaccine Trials Network', 'Oxford Vaccine Group', 'Poliomyelitis eradication', 'Immunologic adjuvant', 'Asplenia', 'Influenza research', 'Controversies in autism', 'MenAfriVac', 'Tetanus']",Vaccines and Immunizations
23,"['18002168', '3464494', '36597555', '714428', '5811552', '16163668', '723453', '892612', '3726299', '3117837', '1059039', '20051089', '399231', '15209898', '1212182', '1269707', '18427821', '377055', '25897574', '37641', '47677028', '2299386', '36628157', '14500114', '3160300', '491353', '11005224', '49498394', '5464750', '45211429', '17848211', '32565916', '32015360', '655995', '1262823', '1053949', '48644210', '5701744', '47677243', '17908306', '482445', '5221389', '39411526', '5721', '25271733', '18014285', '463501', '36716996', '284027', '188506', '19572333', '1273373', '2593831', '15435205', '34609402', '9038948', '6952874', '338154']",,"['Head injury', 'Blast injury', 'Occupational injury', 'Spinal cord injury', 'Needlestick injury', 'Personal injury lawyer', 'Diffuse axonal injury', 'Primary and secondary brain injury', 'Coup contrecoup injury', 'Eye injury', 'Reperfusion injury', 'Brachial plexus injury', 'Anterior cruciate ligament injury', 'Tracheobronchial injury', 'Closed head injury', 'Avulsion injury', 'Back injury', 'Liver injury', 'Spinal cord injury research', 'Racehorse injuries', 'Psychological injury', 'Acute kidney injury', 'Hand injury', 'Narcissistic rage and narcissistic injury', 'Lisfranc injury', 'Injuries in netball', 'Complications of traumatic brain injury', 'Concussion', 'Soft tissue injury', 'Acute inhalation injury', 'Blunt trauma', 'Abdominal trauma', 'Facial trauma', 'Penile injury', 'Tennis injuries', 'Penetrating trauma', 'Sprained ankle', 'Posterior cruciate ligament injury', 'Accident Compensation Corporation', 'Frostbite', 'Diaphragmatic rupture', 'Ulnar collateral ligament injury of the thumb', 'Neurotmesis', 'Hepatotoxicity', 'Wound', 'Vaccine court', 'Cell damage', 'Illness and injuries during spaceflight', 'Ulnar collateral ligament injury of the elbow', 'Acute respiratory distress syndrome', 'Childhood acquired brain injury', 'Skull fracture', 'Kidney failure', 'Knee', 'Dental trauma', 'Tear of meniscus', 'Coma', 'Neurological disorder']",Injury
24,"['37556', '12328438', '177127', '4531', '898648', '1493053', '1432945', '11205451', '880777', '7847673', '31315770', '39653', '56825', '953810', '1248929', '4020563', '49594540', '27502006', '1370748', '220255', '6710732', '290448', '580526', '3452485', '52316', '237641', '3398277', '3184501', '19572333', '21226', '2628506', '877316', '3941742', '3376752', '2092692', '56476', '46966', '30861480', '321556', '28883739', '5993776', '17033405', '727775', '5329800', '159209', '1458550', '2413401', '790999', '1721229', '1587653', '650825', '232052', '2584614', '242901', '3186646', '11541137', '35915458', '2578429']",,"['Neurological disorder', 'National Institute of Neurological Disorders and Stroke', 'Neurology', 'Functional neurological symptom disorder', 'Developmental coordination disorder', 'Conversion disorder', 'Neurodevelopmental disorder', 'UCL Institute of Neurology', 'Childhood disintegrative disorder', 'Sleep disorder', 'Auditory processing disorder', 'Balance disorder', 'Disorders of consciousness', 'Pseudobulbar affect', 'Fetal alcohol spectrum disorder', 'Neuropsychiatry', 'International Classification of Sleep Disorders', 'Regressive autism', 'Neuroacanthocytosis', 'Lysosomal storage disease', 'Eating disorder', 'Psychoorganic syndrome', 'Opsoclonus myoclonus syndrome', 'Conjugate gaze palsy', 'Cognitive disorder', 'Mood disorder', 'Kernicterus', 'Rett syndrome', 'Hyperkinesia', 'Cockayne syndrome', 'Asperger syndrome', 'Memory disorder', 'Somatic symptom disorder', 'Foot drop', 'Factitious disorder', 'Hypersexuality', 'Holmes tremor', 'Bipolar disorder', 'Dissociative identity disorder', 'Tardive dyskinesia', 'Circadian rhythm sleep disorder', 'Conduct disorder', 'Carnosinemia', 'Impulse control disorder', 'Trinucleotide repeat disorder', 'Speech sound disorder', 'Myoclonus', 'Spasmodic torticollis', 'Dissociative disorder', 'Depersonalization disorder', 'Hypersomnia', 'Schizoaffective disorder', 'Cervical spine disorder', 'Transient hyperammonemia of the newborn', 'Carbonic anhydrase inhibitor', 'Manganism', 'Porencephaly', 'Reduplicative paramnesia']",Neurological Disorders
25,"['54712', '224985', '22180699', '41863605', '21479645', '10631756', '53277', '781984', '1609070', '29735179', '984731', '56435', '51778203', '311433', '18640324', '22121463', '5708805', '183544', '41067638', '14881345', '22417018', '31124119', '23184143', '13152996', '6687077', '47941261']",,"['Obesity', 'Abdominal obesity', 'Parental obesity', 'Management of obesity', 'Obesity hypoventilation syndrome', 'Obesity and fertility', 'Psychological aspects of childhood obesity', 'Obesity paradox', 'Social determinants of obesity', 'Diet and obesity', 'Social stigma of obesity', 'EPODE International Network', 'Weight stigma', 'Fat acceptance movement', 'Neuropeptide Y', 'Gastric bypass surgery', 'SIM1', 'FTO gene', 'Tesofensine', 'Hyperinsulinemia', 'Thrifty gene hypothesis', 'Exercise trends', 'Proopiomelanocortin', 'Sugary drink tax', 'Built environment', 'Peptide YY']",Obesity
26,"['593703', '56561', '349335', '33398582', '153807', '2156468', '545918', '42731481', '56283', '4063979', '32571621', '7236219', '292107', '34045015', '15354', '33236437', '25735155', '14621651', '11198392', '41279760', '48376645', '26830429', '50558073', '24332386', '24245898', '417111', '54565031', '12459821', '4909324', '1918041', '50774065', '21147954', '1497313', '477125', '1198684', '30793744', '30707', '3481900', '11262625', '35190669', '44790172', '1278527', '26688040', '3489080', '4793230', '2289941', '311890']",,"['Pain management', 'Interventional pain management', 'Pain management during childbirth', 'Testicular pain', 'Loin pain hematuria syndrome', 'Back pain', 'Pelvic pain', 'History of pain theory', 'Abdominal pain', 'Referred pain', 'Knee pain', 'Pain in fish', 'Complex regional pain syndrome', 'Chronic wound pain', 'Psychological pain', 'Neck pain', 'Pain in crustaceans', 'Phulchand Prithvi Raj', 'Bone pain', 'Chest pain', 'Atypical facial pain', 'Visceral pain', 'Phantom pain', 'Somatosensory rehabilitation of pain', 'Pelvic girdle pain', 'Anesthesia', 'Pain in amphibians', 'Pain in cephalopods', 'Devi Nampiaparampil', 'Problem management', 'Prolotherapy', 'Pain catastrophizing', 'Anesthesiologist', 'Dyspareunia', 'Pain in babies', 'Veterinary acupuncture', 'Temporomandibular joint dysfunction', 'Interstitial cystitis', 'Dental emergency', 'Dry needling', 'Advanced airway management', 'Pericoronitis', 'Neurooncology', 'Terror management theory', 'Spinal cord stimulator', 'Limp', 'Trigeminal neuralgia']",Pain Management
27,"['667634', '40172', '2385806', '1368247', '43666413', '1173050', '38097792', '724723', '69893', '5234177', '7425906', '1806538', '31543881', '1206744', '12220917', '21364162', '3713191', '188523', '362417', '19592340', '322210', '383611', '188517', '36984150', '21197980', '25045060', '5901072', '8142784', '28624879', '29806570', '600236', '322197', '2614714']",,"['Headache', 'Medication overuse headache', 'Prevention of migraines', 'Tension headache', 'Management of chronic headaches', 'Red wine headache', 'Lupus headache', 'New daily persistent headache', 'Migraine treatment', 'Butalbital', 'Sumatriptan', 'Heat therapy', 'Cyclic vomiting syndrome', 'Indometacin', 'SUNCT syndrome', 'Irlen filters', 'Metoclopramide', 'Micropsia', 'Dentomandibular Sensorimotor Dysfunction', 'Botulinum toxin', 'Reversible cerebral vasoconstriction syndrome', 'Hemoencephalography', 'Protriptyline', 'Vertigo', 'Idiopathic childhood occipital epilepsy of Gastaut', 'Macropsia', 'Hemicrania continua', 'Mal de debarquement', 'Cerebral polyopia', 'MELAS syndrome', 'Atrial septal defect', 'CADASIL', 'Diltiazem']",Headaches and Migraines
28,"['39641264', '24016510', '1171612', '377933', '40142', '20903424', '1455358', '4421272', '30206738', '92693', '529870', '23056117', '444349', '4977751', '1936419', '497803', '5370998', '2596815', '5020349', '1483290', '2154041', '36863', '301329', '279711', '501188', '238528', '11669530', '508455', '52135', '16405247', '17504334', '585383', '258719', '6989829', '50845364', '3055114', '66723', '48614', '634060', '18209535', '261148', '4754849', '12315477', '33032376', '204996', '42676', '534130', '707785', '55530', '418160', '2250081']",,"['Respiratory disease', 'Respiratory therapist', 'Respiratory system', 'Control of ventilation', 'Pulmonology', 'Laryngeal papillomatosis', 'Distal spinal muscular atrophy type 1', 'Pulmonary function testing', 'Chronic condition', 'Spirometry', 'Airborne disease', 'Mucus', 'Recurrent airway obstruction', 'Hypercapnia', 'Mechanical ventilation', 'Capnography', 'Extracorporeal membrane oxygenation', 'Common cold', 'Oxygen therapy', 'Nitrogen dioxide', 'Atypical pneumonia', 'Interstitial lung disease', 'Lung', 'Lung volumes', 'Atelectasis', 'Adverse health effects from lunar dust exposure', 'Vocal cord dysfunction', 'Breathing', 'Chronic obstructive pulmonary disease', 'Hypopnea', 'Pulmonary hygiene', 'Pneumonia', 'Human parainfluenza viruses', 'Puppy mill', 'Botulism', 'Hypoxemia', 'Nose', 'Feline calicivirus', 'Respirator assigned protection factors', 'Idiopathic pulmonary haemosiderosis', 'Pulmonary edema', 'Mold health issues', 'Indoor mold', 'Lung microbiome', 'Apnea', 'Medulla oblongata', 'Nasal polyp', 'Nasal concha', 'Bovine herpesvirus 1', 'Vital signs', 'Personal protective equipment']",Respiratory Conditions
29,"['9773788', '1749753', '2321058', '30862594', '14429264', '14522267', '4637216', '490670', '21370569', '1335820', '825155', '5777800', '14051706', '238528', '12251552', '4446738', '1255131', '1834834', '48614', '634060', '14343009', '18209535', '6945989']",,"['Inhaler', 'Respiratory therapist', 'Peak expiratory flow', 'Bronchoconstriction', 'Vocal cord dysfunction', 'Omalizumab', 'Wheat allergy', 'Mometasone furoate', 'Neuropeptide S receptor', 'Occupational lung disease', 'TBX21', 'Nitrogen dioxide', 'Occupational hazards associated with exposure to human nail dust', 'Cysteinyl leukotriene receptor 2', 'Budesonide', 'Leukotriene', 'Immunoglobulin E', 'Antileukotriene', 'Inhaled ciclosporin', 'Diseases of poverty', 'Atopy', 'Cysteinyl leukotriene receptor 1', 'Spirometry']",Asthma
30,"['249922', '2289967', '158015', '771986', '38079914', '74553', '1554770', '58180', '377055', '9040547', '38041', '298541', '424302', '15177796', '699110', '54995', '2795105', '19105733', '6891696', '82978', '5411611', '9718954', '77668', '27978', '13835827', '5053663', '31356356', '261642', '11100132', '20766783', '4397369', '50152174', '397007', '17287885', '19076796', '3702995', '653750']",,"['Cutaneous condition', 'Human skin', 'Skin', 'Dog skin disorders', 'Human skin color', 'Skin whitening', 'Light skin', 'Dermatology', 'Photorejuvenation', 'Skin care', 'Skin flora', 'Dark skin', 'Skin effect', 'Skin biopsy', 'Itch', 'Light therapy', 'Pruritus ani', 'Prurigo nodularis', 'Skin infections and wrestling', 'Callus', 'Skin cell gun', 'Teledermatology', 'Frostbite', 'Cosmetics', 'Warfarin necrosis', 'Squamous cell skin cancer', 'Pityriasis alba', 'Wrinkle', 'Sodium hypochlorite washes', 'Natural skin care', 'Intense pulsed light', 'Comedo', 'Subcutaneous emphysema', 'Mantoux test', 'Porphyria', 'Freckle', 'Scar']",Skin Conditions
31,"['877445', '64976', '620330', '4531', '155131', '5329800', '29603632', '972242', '11973479', '231014', '17625193', '790999', '14269', '1721229', '50798', '22081794', '52316', '19572333', '36563803', '426404', '689982', '1446859', '298548', '5175590', '242901', '27834', '7466120', '44442017', '398725', '18597893', '46966', '9690068', '236449', '28278287', '39242947', '249357', '30861480', '665578', '2007949', '43712740', '3832875', '149223', '1432945', '880777', '251047', '1458550', '536032', '31315770', '2413401', '39653', '56825', '953810', '35819412', '1721208', '699110', '20419', '285157', '29289671', '237641', '21226', '331155', '2872544', '26534505', '66811', '53265936', '347816']",,"['Sleep disorder', 'Circadian rhythm sleep disorder', 'Delayed sleep phase disorder', 'Rapid eye movement sleep behavior disorder', 'Sleep medicine', 'Night terror', 'Sleep', 'Sleep state misperception', 'Sleepwalking', 'Somnology', 'Sleep paralysis', 'Insomnia', 'Sleep debt', 'Hypersomnia', 'Sleep and breathing', 'Rhythmic movement disorder', 'Sleep surgery', 'Conditions comorbid to autism spectrum disorders', 'Cognitive behavioral therapy for insomnia', 'Nightmare disorder', 'European Sleep Apnea Database', 'Biphasic and polyphasic sleep', 'Sleep deprivation', 'Mood disorder', 'Somnolence', 'DSM-5', 'Bruxism', 'Hypnotic', 'Sleep and weight', 'Neuroscience of sleep', 'Attention deficit hyperactivity disorder', 'Neurological disorder', 'Schizoaffective disorder', 'Somatic symptom disorder', 'Polysomnography', 'Mental disorders diagnosed in childhood', 'TIK-301', 'Adjustment disorder', 'Impulse control disorder', 'Bipolar disorder', 'Factitious disorder', 'Neurology', 'Seasonal affective disorder', 'Disorders of consciousness', 'Eating disorder', 'Nocturnal enuresis', 'Dissociative identity disorder', 'Intermittent explosive disorder', 'Light therapy', 'Actigraphy', 'Developmental disorder', 'Borderline personality disorder', 'Dissociative disorder', 'Somatization disorder', 'Sleep and emotions', 'Delusional disorder', 'Cognitive disorder', 'Panic disorder', 'Melatonin receptor agonist', 'Depersonalization disorder', 'National Institute of Neurological Disorders and Stroke', 'Conversion disorder', 'Fatigue and sleep loss during spaceflight', 'Pain disorder', 'Melatonin', 'Mania']",Sleep Disorders
32,"['18769343', '2441678', '20683275', '2772574', '1129641', '17085856', '75005', '29561144', '261925', '2459566', '351581', '490201', '6142110', '1465997', '60976', '17972473', '7134030', '2382246', '232415', '2243764', '2407129', '22175792', '2406917', '202584', '20357', '1107036', '20489338', '676718', '3940866', '6134342', '1813186', '23315', '4682876']",,"['Medical education', 'Health education', 'Medical psychology', 'Health professional', 'Academic health science centre', 'Medical assistant', 'Medical library', 'Medical record', 'Medical physics', 'Professional degrees of public health', 'Health informatics', 'Health psychology', 'Nurse education', 'Medical anthropology', 'Medical tourism', 'Medical simulation', 'Health care', 'Mental health professional', 'Amref Health Africa', 'Emergency medical technician', 'Medical Scientist Training Program', 'Emergency medical responder', 'Medical journalism', 'Mahatma Gandhi Institute of Medical Sciences', 'Jagiellonian University Medical College', 'Medical transcription', 'Health insurance', 'Frontier Medical College', 'Electronic health record', 'Defence Services Medical Academy', 'Physician', 'Health system', 'Drug education']",Health Education and Medical Training
33,"['20003855', '8856946', '38612843', '27306142', '6950726', '40159918', '314696', '17005049', '1348347', '10727258', '2118246', '241271', '39119087', '2459566', '351581', '490201', '8695082', '3158172', '4423394', '8515209', '2185288', '271945', '2407129', '2245783', '24113366', '237641', '6464527', '463734', '25524', '7021396', '638045', '1845551', '2156973', '763785']",,"['Medical research', 'Health informatics', 'Garvan Institute of Medical Research', 'Health policy', 'Public health', 'Health insurance', 'Medical education', 'Biomedical Advanced Research and Development Authority', 'Lankenau Institute for Medical Research', 'Summa Health System', 'Health education', 'Drexel University College of Medicine', 'UnitedHealth Group', 'Health On the Net Foundation', 'Research', 'Environmental health', 'University of Pittsburgh Medical Center', 'Health care quality', 'Wellcome Trust', 'Funding of science', 'Commission on Health Research for Development', 'Tulane University School of Medicine', 'Global health', 'Health promotion', 'Catholic Church and health care', 'Buck Institute for Research on Aging', 'Maharishi Vedic Approach to Health', 'National Bureau of Asian Research', 'Ecosystem health', 'National Institute of Neurological Disorders and Stroke', 'National Psoriasis Foundation', 'Ludwig Cancer Research', 'Federation of State Medical Boards', 'Kaiser Family Foundation']",Health Foundations and Medical Research
34,"['17564368', '251401', '1430450', '4580942', '4827', '18626487', '4593785', '21122480', '704381', '318920', '19626414', '6690767', '877606', '7676521', '15286', '265112', '173351', '49535342', '4787159', '1363291', '51784737', '14621467', '718324', '1009912', '234714', '1107036', '2245783', '12439068', '3940866', '143357', '1481498', '55530', '16159269', '95807', '2383713', '2254799', '360041', '3301527', '556628', '2605490', '1278559', '291838', '6142110', '304263', '20489338', '508455', '28714', '523680']",,"['Medical device', 'Biomedical Equipment Technician', 'Medical equipment management', 'Medical device hijack', 'Medical Device Radiocommunications Service', 'Biomedical engineering', 'Automatic test equipment', 'Personal protective equipment', 'Smiths Group', 'Medical alarm', 'Wireless electronic devices and health', 'Medical imaging', 'Medical transcription', 'Ventricular assist device', 'Arctic Sun medical device', 'Medical research', 'Medical glove', 'Protective equipment in gridiron football', 'Personal flotation device', 'SMT placement equipment', 'Autoclave', 'Medical record', 'Laboratory', 'ISM band', 'Medical ultrasound', 'Cool Devices', 'Medical test', 'FEMA Urban Search and Rescue Task Force', 'Conception device', 'GE Healthcare', 'Hiking equipment', 'Stryker Corporation', 'Waste Electrical and Electronic Equipment Directive', 'Biomedical waste', 'Radiography', 'Improvised explosive device', 'Dosimetry', 'Equipment of a combat medic', 'Clinical engineering', 'Medical error', 'CE marking', 'Medical simulation', 'Catheter', 'Medical prescription', 'Health professional', 'Oxygen therapy', 'Stethoscope', 'Stretcher']",Medical Devices and Equipment
35,"['302109', '925356', '1399190', '48446867', '653', '36931547', '411964', '3889704', '803661', '9234672', '1963187', '543654', '15925282', '39134907', '27352320', '227423', '418544', '15519226', '49486493', '10113932', '22624303', '10518546', '1273372', '513291']",,"['Assistive technology', 'Assistive technology and sports', 'Assisted reproductive technology', 'Assistive Technology for Deaf and Hard of Hearing', 'Home automation for the elderly and disabled', 'Computer accessibility', 'Landmark College', 'Accessibility', 'Screen reader', 'Perkins School for the Blind', 'History of technology', 'Technology readiness level', 'Mobility aid', 'Assisted living', 'Open source appropriate technology', 'Technology life cycle', 'TV Ears', 'Telecommunications relay service', 'Emerging technologies', 'Shepherd Center', 'Technology brokering', 'Neuromechanics of orthoses', 'Institution of Engineering and Technology', 'Talking clock']",Assistive Technology
36,"['6550481', '2455474', '8235704', '2357908', '61271', '18757600', '3507008', '3973', '42436453', '13673345', '6579', '865341', '269315', '326538', '291791', '42454080', '367975', '6691980', '13729', '225721', '13640325', '485541', '17689493', '3144730', '5303034', '36264729', '165890', '2835536', '35738438', '2025728', '28502', '401326', '3526480', '167079', '239976', '567931', '706136', '177213', '21481546', '320466', '18842281', '5931', '2762802', '249171', '16105186', '102383', '41568624', '1592796', '31511915', '417157', '8166749', '34076003', '3677824', '19001', '275990', '19644137', '188773', '185324', '140889', '338323', '1451336', '1053949', '698830', '33454300']",,"['Motorola Mobility', 'Wheelchair', 'Scuba set', 'Interceptor body armor', 'SEMA', 'String trimmer', 'Paintball equipment', 'Gyrotonic', 'Auxiliary power unit', 'XLR connector', 'Sidemount diving', 'LRP ration', 'Carbine', 'Bicycle', 'Wetsuit', 'Smartphone', 'Brose Fahrzeugteile', 'BEL Battle Field Surveillance Radar', 'Diving suit', 'Stirrup', 'Chevrolet Silverado', 'Paintball', 'Shattered Galaxy', 'Honeywell', 'Anterior cruciate ligament reconstruction', 'Cluj County', 'Naval Surface Warfare Center Crane Division', 'Automotive lighting', 'Glossary of climbing terms', '354th Fighter Wing', 'Improved Outer Tactical Vest', 'Batsuit', 'Dry suit', 'Honda', 'Volvo C30', 'Nexus Q', 'Audi A1', 'Rehabilitation in spinal cord injury', 'Galvin Green', 'Car', 'Cycling', 'Polaris Industries', 'Mobile phone', 'Heavy Gear', 'Honda Fit', 'Spinal cord injury', 'Computer keyboard', 'Musket', 'Hybrid operating room', 'Department store', 'Military police', 'Mountain biking', 'Glossary of video game terms', 'Street light', 'Pern', 'Microsoft', 'Electric car', 'MacBook Pro', 'Fula people', 'Scorponok', 'Hewlett Packard Enterprise Networking', 'Xiaomi', 'Hybrid electric vehicle', 'Dell Latitude']",Mobility Equipment and Accessories
37,"['32993239', '19962352', '18626487', '3100770', '24285674', '7127713', '52975', '29561144', '22281696', '349319', '31521384', '49535342', '2243764', '10604681', '38947394', '34833199', '20357', '2245783', '676718', '15150673', '3940866', '430716', '11856325', '20198427', '2267007', '12639497', '2156973', '11976572', '832283']",,"['Emergency medical services', 'Air medical services', 'Medical assistant', 'Medical neutrality', 'Medical tourism', 'JSS Medical College', 'Emergency Health Services', 'Regional Institute of Medical Sciences', 'Medical psychology', 'Medical Device Radiocommunications Service', 'Medical transcription', 'SUNY Downstate Medical Center', 'Veer Surendra Sai Institute of Medical Sciences and Research', 'Frontier Medical College', 'Healthcare industry', 'Medical image sharing', 'Medical home', 'Sanjay Gandhi Postgraduate Institute of Medical Sciences', 'Anschutz Medical Campus', 'Medical research', 'HSE National Ambulance Service', 'Prime Healthcare Services', 'University of Pittsburgh Medical Center', 'Veterans Health Administration', 'Biomedical waste', 'Brighton and Sussex Medical School', 'Medical tourism agent', 'Nursing home care', 'District of Columbia Fire and Emergency Medical Services Department']",Medical Facilities and Services
38,"['27954974', '745909', '340345', '2062757', '959741', '153041', '25452964', '22258', '30302', '1339705', '1109872', '250302']",,"['Fourth Doctor', 'The Two Doctors', 'Doctor of the Church', 'History of Doctor Who', 'Juris Doctor', 'Medical certificate', 'Death of the Doctor', 'Waiting room', 'TARDIS', 'Doctor Who and the Silurians', 'Oath of office', 'The Curse of Fenric']",Doctors' Offices
39,"['6159646', '427922', '13439198', '44793', '18994221', '19061352', '38722', '11941349', '11188627', '286790', '832283', '32526576']",,"['Residential treatment center', 'Emergency Medical Treatment and Active Labor Act', 'NYU Langone Medical Center', 'Psychiatric hospital', 'Hospital', 'Assertive community treatment', 'Trauma center', 'Yanhee Hospital', 'Soroka Medical Center', 'Duke University Health System', 'Veterans Health Administration', 'Drug rehabilitation']",Hospitals and Treatment Centers
40,"['1474961', '32993239', '4224839', '52975', '20639871', '2148428', '352047', '29884658', '31768127', '33731198', '2243764', '884188', '1076929', '19013767', '718324', '29569076', '1009912', '1294685', '22175792', '3770891', '5242635', '47158660', '202584', '20357', '1107036', '2677666', '465584', '6198688', '3940866', '10316499', '508146', '42048', '159554', '821829', '32055']",,"['Fear of medical procedures', 'Medical diagnosis', 'Medical restraint', 'Medical physics', 'Medical glove', 'Medical assistant', 'Medical billing', 'Medical classification', 'Medical experimentation in Africa', 'Medical transcription', 'Emergency medical services', 'Medical terminology', 'Surgical mask', 'Medical literature', 'Medical journalism', 'Sex change', 'Percutaneous vertebroplasty', 'Medical school', 'Medical laboratory scientist', 'Medical record', 'Medical guideline', 'Cricothyrotomy', 'Adverse effect', 'Medicine in Star Trek', 'Medical psychology', 'MIRA procedure', 'Medical paternalism', 'Medical error', 'Medical College Admission Test', 'Laryngoscopy', 'Fear of needles', 'Air medical services', 'Urology', 'Plastic surgery', 'Mature minor doctrine']",Medical Procedures
41,"['30858275', '4827', '14023503', '2204526', '11100910', '428966', '12383932', '3428196', '244479', '7134030', '33731198', '2243764', '25452964', '3770891', '370604', '465584', '20489338', '3940866', '18957', '617573', '3575266', '44305', '602919', '23315', '311410', '35032562', '896843', '152623', '3348837', '2555114']",,"['Medical College Admission Test', 'Physical examination', 'Medical school', 'Medical assistant', 'Medical license', 'BioMedical Admissions Test', 'Engineering Agricultural and Medical Common Entrance Test', 'Medical laboratory scientist', 'Mahatma Gandhi Institute of Medical Sciences', 'Pregnancy test', 'Board certification', 'Projective test', 'Medical transcription', 'USMLE Step 1', 'Doctor of Medicine', 'Multiple choice', 'Pap test', 'DELE', 'Employment testing', 'Biomedical engineering', 'Medical simulation', 'National Council Licensure Examination', 'UCL Medical School', 'Physician', 'Medical certificate', 'Imperial examination', 'Medicine', 'Radiology', 'Progress testing', 'Cardiff University School of Medicine']",Medical Tests and Exams
