,Unnamed: 0,terms,titles,pageids
485,485,Networking Equipment,"['Networking hardware', 'Network equipment provider', 'Network interface device', 'Network processor', 'Open Networking Foundation', 'ADVA Optical Networking', 'Dell Networking', 'Nokia Networks', 'Wireless network', 'Network function virtualization', 'Local area network', 'Network Based Application Recognition', 'Campus network', 'Home network', 'Ground support equipment', 'International Mobile Equipment Identity', 'Network socket', 'Network planning and design', 'Automatic test equipment', 'DiY networking', 'Electronic media', 'Public switched telephone network', 'Perle Systems', 'Electronic Theatre Controls', 'Network operations center', 'Network congestion', 'Biomedical Equipment Technician', 'Network switch', 'Communications and networking riser', 'Access network', 'Acoustic network', 'Passive optical network', 'Mobile ad hoc network', 'Linux on embedded systems', 'Network Test Automation Forum', 'UMTS Terrestrial Radio Access Network', 'Mushroom Networks', '3Roam', 'DASAN Networks', 'PacketExchange', 'Radio access network', 'Network isolator', 'Pan Africa Chemistry Network', 'Plesiochronous digital hierarchy', 'Infinera', 'Public land mobile network', 'Provisioning', 'Power distribution unit', 'RLDRAM', 'Cellular network', 'Vitesse Semiconductor', 'SK Hynix', 'Network emulation', 'Ethernet', 'Converged infrastructure', 'Optical Transport Network', 'Storage area network', 'NSAP address', 'XKL', 'Network virtualization', 'Aviat Networks', 'Data center services', 'Overlay network']","['15803151', '25726571', '810183', '1804889', '1430450', '4580942', '1676808', '1621961', '48636773', '39407394', '45299768', '1422067', '1957258', '7802776', '3509706', '19570050', '418118', '1146204', '17739', '21184955', '27880666', '454988', '34907046', '430522', '14484389', '38556048', '41409', '22435060', '883983', '1577061', '1461173', '4764218', '40614', '1699254', '5622480', '31280868', '6836667', '45048689', '1738259', '4480798', '38512', '11305143', '41592', '41598', '468436', '27901745', '3616426', '2239953', '33172', '23007155', '735672', '30030820', '33996417', '9499', '21974', '1446484', '13588444', '6533005', '1014669', '2806550', '20444608', '34423925', '29286140']"
486,486,VPN and Remote Access,"['Routing and Remote Access Service', 'OpenVPN', 'Virtual private network', 'VoIP VPN', 'Remote desktop software', 'SoftEther VPN', 'Mobile virtual private network', 'Microsoft Forefront Unified Access Gateway', 'Mobile document access', 'Apple Remote Desktop', 'Remote office center', 'NCP engineering', 'Network Extrusion', 'Split tunneling', 'DirectAccess', 'Microsoft Access', 'Code Access Security', 'Virtual network', 'Tunneling protocol', 'Sangfor Technologies', 'Access control', 'Virtual Network Computing', 'Tailored Access Operations', 'Network Policy Server', 'IP access controller', 'Check Point GO', 'RADIUS', 'Zeroshell', 'Trusecc', 'End node problem', 'Internet access', 'CipherGraph Networks', 'FreeLAN', 'RESTENA', 'Shared resource', 'Satellite Internet access', 'Array Networks', 'RPyC', 'Internet Authentication Service', 'PA Server Monitor', 'NetGenie', 'Goldbricking', 'Home server', 'Mobile file management', 'SME Server', 'Common Access Card', 'Nexus Hawk', 'Netgear', 'HTTP tunnel', 'Jump server', 'SSH File Transfer Protocol', 'Cisco PIX', 'Microsoft Response Point', 'TCP Gender Changer', 'Pano Logic', 'Secure Shell', 'Microsoft Forefront Threat Management Gateway', 'NAT64', 'Wireless security', 'SCADA', 'Enterprise mobility management', 'DNS hijacking', 'Palm Foleo', 'Mobile device management', 'SpeedTouch', 'Unified threat management', 'Computer network', 'NSA ANT catalog', 'IP reader', 'Comrex', 'Features new to Windows XP', 'Home network', 'Windows Firewall', 'Mobile workspace', 'Virtual firewall', 'Unix security', 'Windows NT 4.0', 'File Transfer Protocol', 'TeamDrive', 'PfSense', 'Server Message Block', 'Cisco certifications', 'Picture archiving and communication system', 'Windows Vista networking technologies', 'Wireless', 'GNUnet', 'Comodo Internet Security', 'Nalsar University of Law', 'Security and safety features new to Windows Vista', 'Juniper Networks', 'Open mail relay', 'Internet', 'TelstraClear', 'Dell Software', 'Internet television', 'Cisco Systems', 'Cloud computing', 'Software Defined Perimeter', 'BitTorrent protocol encryption', 'FreeNAS', 'XKeyscore', 'IPsec', 'Intellipedia']","['40684', '1715675', '46744320', '29140372', '40661353', '2016578', '2460204', '22996169', '26086817', '42962935', '9445932', '11972971', '9488407', '20792856', '2945139', '300602', '20935', '23263957', '12715044', '31897073', '11282548', '50480957', '40618038', '1197294', '31942124', '33038921', '12228919', '858492', '41013676', '191866', '40498683', '4379735', '10688139', '17780416', '31678049', '7762612', '44373408', '769088', '7667814', '40363371', '9672835', '39477018', '53819254', '1272738', '351541', '1963497', '147130', '5264791', '13957817', '992421', '51746', '3696371', '19541494', '21136932', '4122592', '51221909', '14768031', '42069958', '19483125', '3463130', '53289', '293685', '3509706', '20783639', '14539', '989858', '29068812', '675426', '2369189', '10617088', '12550185', '43099588', '30228442', '41519195', '3426802', '43316', '11507993', '16931018', '4254806', '63860', '62437', '428987', '28814', '7247692', '349873', '41781486', '4471223', '22865773', '36883649', '1951679', '4077888', '243928', '25787329', '2815163', '795680', '10541907', '185868', '2681135', '3803886', '5368671', '43342', '7182969', '39936650']"
487,487,Programming,"['Computer programming', 'Programming language', 'Constraint programming', 'Linear programming', 'Imperative programming', 'Structured programming', 'Extreme programming', 'Pair programming', 'Modular programming', 'Array programming', 'Esoteric programming language', 'Game programming', 'Visual programming language', 'Quantum programming', 'Integer programming', 'Programming language theory', 'Tacit programming', 'Automatic programming', 'Dynamic programming', 'Block programming', 'Broadcast programming', 'Inductive programming', 'Programming tool', 'Application programming interface', 'Comparison of programming languages', 'Nondeterministic programming', 'History of programming languages', 'The C Programming Language', 'Programming game', 'System programming', 'The Unix Programming Environment', 'Inductive logic programming', 'Extensible programming', 'Semidefinite programming', 'Nonlinear programming', 'International Conference on Functional Programming', 'Open Programming Language', 'Constraint logic programming', 'Synchronous programming language', 'Programmable calculator', 'Programming by demonstration', 'Interactive programming', 'Computer network programming', 'Quadratic programming', 'Concatenative programming language', 'Local programming', 'System programming language', 'Concept programming', 'Defensive programming', 'Program', 'Abductive logic programming', 'CBC Radio One local programming']","['27697009', '890887', '1118035', '2836685', '1068736', '3406469', '3224769', '5311', '892957', '2875061', '4249442', '189899', '62661', '125297', '53398', '1445177', '38634705', '773853', '896120', '197847', '54069', '41644056', '411215', '1699983', '4280030', '43730', '11651060', '939133', '11898761', '679709', '832032', '24400', '3695788', '8912956', '1057551', '23015', '3882218', '370882', '40324', '2137644', '4993539', '27695', '2211347', '365264', '472805', '5158722', '379671', '2273418', '499268', '12737925', '1164672', '23771']"
488,488,C and C++,"['Compatibility of C and C++', 'C++', 'C standard library', 'Microsoft Visual C++', 'MISRA C', 'Cytochrome c', 'Influenzavirus C', 'C preprocessor', 'Borland C++', 'Managed Extensions for C++', 'Hemoglobin C', 'C mathematical functions', 'C-301', 'Open C tuning', 'Comparison of Pascal and C', 'Comparison of C Sharp and Java', 'THINK C', 'Comparison of Java and C++', 'C3', 'C++17', 'Hard and soft C', 'Escape sequences in C', 'C-704', 'Vitamin C', 'C to HDL', 'C syntax', 'Group C nerve fiber', 'The C Programming Language', 'Hepatitis C virus', 'Drop C tuning', 'QuakeC', 'Honda C engine']","['24481243', '5200013', '8857543', '8268649', '1570977', '16331045', '4137504', '231835', '324378', '456820', '9616023', '685190', '19468061', '1986891', '40925542', '92388', '8113908', '32561813', '11747471', '5567166', '2966179', '790967', '1310540', '3833671', '6782013', '3137129', '1739706', '6932414', '25207', '3756993', '379671', '32509']"
489,489,Developer Jobs,"['XDA Developers', 'Programmer', 'Game Developers Choice Awards', 'Platform evangelism', 'Graphic design occupations', 'Indie game', 'Jumbune', 'Vinzant Software', 'Technical writer', 'Web development', 'Content designer', 'Gamasutra', 'Game testing', 'GridWay', 'Video game producer', 'Mob Wars', 'Video game programmer', 'Heroku', 'Neutral build', 'Makers Academy', 'Software engineer', 'Electronic AppWrapper', 'Chip Morningstar', 'Talend Open Studio for Data Integration', 'Amazon Mechanical Turk', 'Ordinary income', 'Simple API for Grid Applications', 'Information and Computer Science', 'Slurm Workload Manager', 'Video game artist', 'Android Nougat', 'IBM Tivoli Workload Scheduler', 'Final Fantasy Explorers']","['3083229', '49702054', '4306716', '3307486', '47327601', '43036678', '1366970', '297515', '3242208', '3341249', '4183879', '19127434', '7498564', '13056029', '8431748', '42732975', '41660149', '20823773', '46768483', '9337763', '27788626', '23716', '9784400', '28025384', '90471', '12930529', '365485', '1133087', '564661', '311632', '16732092', '611714', '18490772']"
490,490,Development Tools,"['Programming tool', 'Web development tools', 'Game development tool', 'PHP Development Tools', 'Rapid application development', 'Android software development', 'Software development kit', 'Tool', 'Apple Developer Tools', 'Garden tool', 'Java Virtual Machine Tools Interface', 'Integrated development environment', 'Machine tool', 'Pro Tools', 'Antique tool', 'Software development', 'Software development process', 'Web development', 'Visual Studio Tools for Office', 'Stone tool', 'Xbox Development Kit', 'Windows Driver Kit', 'Tool bit', 'Web application development', 'MyEclipse', 'Astah*', 'Tool use by animals', 'Telerik', 'Internet Explorer Developer Tools', 'Entrenching tool', 'Personal development', 'Dynamic systems development method', 'Web Platform Installer', 'Game development kit', 'JBoss Developer Studio', 'Bone tool', 'Rural community development', 'Business development', 'IOS SDK', 'Comparison of integrated development environments', 'Development communication', 'Organization development', 'Sustainable product development', 'Nintendo System Development', 'Android Studio', 'Information and communication technologies for development', 'Real estate development', 'JUnit', 'Crowdsourcing software development', 'WaveMaker', 'Opera Dragonfly', 'Toolchain', 'Agile testing', 'Strawberry Perl', 'Test automation', 'Microsoft Windows SDK', 'Systemic development', 'Agile software development', 'Google Kythe', 'Automated code review', 'Anjuta', 'Google Developers', 'Checkstyle', 'Embedded Visual Basic', 'NetBeans', 'Java Code Coverage Tools', 'Iterative and incremental development', 'CodeGear', 'Systems development life cycle', 'New product development', 'Microsoft Pascal', 'Team Foundation Server', 'Eclipse Che']","['39402304', '31759854', '4197071', '4543689', '810674', '3443698', '4522229', '6444283', '39643325', '579403', '667349', '3547771', '48648089', '4652160', '5284002', '16176847', '632853', '15305', '11166992', '19387375', '16226', '771455', '191490', '7097865', '25963222', '226594', '11358433', '8068094', '420787', '370882', '239993', '23572959', '7054753', '248932', '166087', '23407868', '142839', '14589960', '42892041', '30677', '1643482', '15704241', '13522040', '24718352', '7206282', '611714', '15774107', '3634954', '865657', '639009', '10319588', '725569', '4228010', '21534171', '7962123', '50259021', '49644494', '5376796', '45481745', '163878', '38607152', '1728276', '2671733', '214178', '216192', '19285607', '14304041', '30334805', '573528', '11847635', '1086547', '648580', '17332785']"
491,491,Java,"['Java virtual machine', 'Java applet', 'Java bytecode', 'JavaFX', 'Comparison of Java and C++', 'Java syntax', 'Comparison of C Sharp and Java', 'GNU Compiler for Java', 'Criticism of Java', 'Java Classloader', 'HotJava', 'Java Persistence API', 'Java remote method invocation', 'Real time Java', 'Java Message Service', 'Java annotation', 'Plain old Java object', 'Java concurrency', 'Java Database Connectivity', 'Hinduism in Java', 'Microsoft Java Virtual Machine', 'Ontong Java Atoll', 'Java logging framework', 'JavaCC', 'Lightweight Java Game Library', 'Mongol invasion of Java', 'PicoJava', 'JavaScript engine', 'Java ConcurrentMap', 'Java Platform Module System', 'Enterprise JavaBeans', 'Java Web Services Development Pack', 'Java memory model', 'Java Naming and Directory Interface', 'Java Management Extensions', 'Content repository API for Java', 'Java Authentication and Authorization Service', 'Java resource bundle', 'Java Portlet Specification', 'Abstract Window Toolkit', 'Java Virtual Machine Tools Interface', 'Java compiler', 'Java Architecture for XML Binding', 'Sun Java System Calendar Server', 'Java performance', 'XQuery API for Java', 'Comparison of Java and Android API', 'NetBeans', 'SableVM', 'Java API for XML Web Services', 'Java processor']","['26456528', '685190', '32967440', '19468061', '2878742', '5516020', '42750', '162939', '827881', '447458', '402257', '11125049', '1770496', '705688', '927844', '7723859', '49876799', '26257672', '541158', '42866', '42762', '7811267', '11409268', '2577565', '771455', '705672', '4093054', '13593', '38321273', '1688253', '7901943', '4904971', '6814676', '8786357', '43284', '22495593', '1079500', '16389', '2906731', '14910351', '17521476', '214178', '5712491', '3885049', '2064238', '3176460', '385258', '7476026', '32238027', '6982955', '4221272']"
492,492,Scripting Languages,"['MIRC scripting language', 'AppleScript', 'IRC script', 'JavaScript', 'Windows Script Host', 'Scripting Layer for Android', 'Bean Scripting Framework', 'ActionScript', 'JScript', 'Linden Scripting Language', 'Dynamic web page', 'Unified Expression Language', 'JavaScript OSA', 'Dynamic programming language', 'PostScript', 'HTML scripting', 'KiXtart', 'Programming language', 'ActivePerl', 'Visual DialogScript', 'Pascal Script', 'History of programming languages', 'Batch file', 'Judoscript', 'AutoIt', 'WinWrap Basic', 'IPTSCRAE', 'FXScript', 'Server Side Includes', 'Kapsules', 'TScript', 'ScriptBasic', 'ChatScript', 'GameMonkey Script', 'Pnuts', 'Solution stack', 'IBM i Control Language', 'TACL', 'Tcl', 'Sun Web Developer Pack', 'Constructed script', 'Microsoft Script Debugger', 'Adobe Dreamweaver', 'Perl', 'Rebol', 'PIKT', 'Jurchen script', 'AWK', 'Sidetic language', 'Unobtrusive JavaScript', 'StepTalk', 'Profile Scripting Language', 'Scsh']","['1456', '519691', '8918319', '318918', '88392', '2281448', '15264030', '1956739', '53734156', '422838', '234079', '1697881', '27720109', '1131159', '80977', '896120', '431985', '1603407', '1257871', '263872', '9845', '1882422', '13570551', '18863945', '15086521', '1370630', '843913', '310996', '4511807', '13922370', '31788384', '23939', '16718543', '24080', '23015', '26384', '60650', '29572602', '424381', '4354209', '2119352', '10080676', '1558785', '37307697', '39880682', '9538767', '45738', '22872348', '288448', '17687494', '380536', '2581887', '9136218']"
493,493,Windows and .NET,"['Microsoft NetMeeting', 'Windows Runtime', 'Windows Forms', '.NET Framework version history', 'Microsoft Windows', 'Windows CE 5.0', 'Windows Update', 'Windows 98', 'Windows Communication Foundation', 'Windows API', 'Windows service', 'Windows Preinstallation Environment', 'Windows Defender', 'Windows NT', 'Windows Firewall', 'Windows NT 4.0', 'Net use', 'Windows Rally', 'Windows IoT', 'Windows Script Host', 'Windows Live TV', 'Windows on Windows', 'Windows Movie Maker', 'Features new to Windows Vista', 'Features new to Windows 7', 'History of Microsoft Windows', 'Windows Photo Viewer', '.NET Compact Framework', 'Windows shell', 'Windows Server Essentials', 'Windows Media', 'PowerShell', 'Windows Vista editions', 'Windows Registry', 'NetBIOS Frames protocol', 'Universal Windows Platform apps', 'NetBIOS', 'Criticism of Windows Vista', 'Windows Assessment and Deployment Kit', 'Windows Embedded Automotive', 'NetBackup', 'Windows Media Audio', 'Security and safety features new to Windows Vista', 'Microsoft Windows library files', 'NetBeans', 'Net metering', 'NetWare', 'Windows Management Instrumentation', 'Windows Easy Transfer', 'Windows SteadyState', 'Windows Push Notification Service', 'Comparison of Microsoft Windows versions', 'Backup and Restore', 'File Explorer', 'Windows Installer', 'Windows Mobile Device Center', 'Live Connect', '.NET Micro Framework', 'Windows Phone 8.1', '.NET My Services', 'Windows System Assessment Tool', 'Mosquito net', 'Base One Foundation Component Library', 'Microsoft Visual Studio', 'Integrated Windows Authentication', 'Features new to Windows 10']","['2585331', '30110697', '7339782', '19990354', '3738839', '13694', '1804279', '18890', '5877183', '177746', '263313', '2259149', '214178', '363188', '843050', '22813924', '14465871', '7247692', '41513227', '75433', '81601', '17921227', '2503047', '2429012', '1370321', '16473708', '22718105', '2815163', '826727', '8969589', '8746256', '439355', '441206', '34082', '1395774', '21291483', '795680', '2696395', '2550813', '10678170', '1164933', '33104533', '288448', '2187893', '296881', '8996352', '1648788', '5034169', '4124677', '6919166', '3036013', '12663336', '16142457', '10758793', '46783045', '445959', '596688', '8586003', '13980768', '2347526', '1158591', '11035294', '41917266', '48780189', '11963111', '5222017']"
494,494,Software,"['Software', 'Free software', 'Software categories', 'Software license', 'Software maintenance', 'Software architecture', 'Software development', 'Software patents and free software', 'Free software movement', 'Mathematical software', 'Software quality', 'Software engineer', 'Software industry', 'Application software', 'Software developer', 'Software verification and validation', 'Software testing', 'Software development process', 'Software as a service', 'Free software license', 'Amiga software', 'Software design', 'Software prototyping', 'Ubuntu Software Center', 'Software synthesizer', 'Software bug', 'Microsoft Software Updater', 'Software release life cycle', 'Medical software', 'Software configuration management', 'Accounting software', 'Software distribution', 'Graphics software', 'Software quality assurance', 'Agile software development', 'Software architect', 'Software patent debate', 'System software', 'Software project management', 'Cleanroom software engineering', 'Commercial software', 'Reference management software', 'Church software', 'Video editing software', 'GPS navigation software', 'Law practice management software', 'Free Software Magazine', 'Embedded software', 'Comparison of project management software', 'Software deployment', 'Software appliance', 'Software framework', 'Software development effort estimation', 'Wiki software', 'Graphic art software', 'Software factory', 'Software design description', 'Software analytics', 'Software construction', 'Software rot', 'Software requirements specification', 'Comparison of disc image software', 'Comparison of screencasting software', 'Software documentation', 'Software sizing', 'Software modernization', 'Software rendering', 'Encryption software', 'Software product line', 'Comparison of Internet forum software', 'Biblical software', 'Productivity software', 'Comparison of file synchronization software', 'Antivirus software', 'Bulk email software', 'Experimental software engineering', 'Software Engineering Institute', 'Software aging', 'Comparison of antivirus software', 'Collaborative software', 'Comparison of Direct Connect software', 'Freely redistributable software', 'Appointment scheduling software', 'Rational Software', 'Rational Software Architect', 'Software archaeology', 'Vinyl emulation software']","['13277642', '639009', '4334877', '454746', '4102341', '3348116', '695391', '2265048', '638447', '1543684', '10635', '18932568', '10638', '13951777', '1794544', '12280293', '1727027', '467919', '7031374', '454843', '5309', '2497132', '48364', '2262333', '37085', '30888839', '165180', '223325', '179683', '248932', '23407868', '29580127', '90471', '1875574', '803810', '780960', '1136198', '9807620', '4016710', '1090852', '1301906', '1843409', '220901', '165550', '29090', '699718', '189021', '24327781', '32624', '268622', '3277841', '16187147', '10748488', '42005', '30154663', '1423563', '6729980', '19067399', '27309498', '13896696', '2285143', '3750731', '1158132', '2979009', '29345392', '338740', '13422367', '27011', '12271117', '36813043', '3402473', '28336398', '33408418', '1688759', '3771347', '17765521', '27488', '3019875', '768211', '8503981', '11289322', '1843472', '990036', '1906495', '8529644', '3623167', '33164']"
495,495,Business and Productivity Software,"['Productivity software', 'Productivity', 'Programming productivity', 'Business software', 'Business intelligence software', 'Software categories', 'Enterprise software', 'Software factory', 'Software development', 'Spinnaker Software', 'Software quality', 'Software developer', 'Custom software', 'Hewlett Packard Enterprise Software', 'Business process management', 'Agile software development', 'Employee scheduling software', 'Business process modeling', 'Software development process', 'Amiga productivity software', 'Software asset management', 'Open business', 'IBM Tivoli Storage Productivity Center', 'Software analytics', 'Outline of software engineering', 'Collaborative software', 'Software engineering', 'Child care management software', 'Software equation', 'Software entrepreneurship', 'Software maintenance', 'IBM Lotus Symphony', 'Adware', 'Web application development', 'Software testing', 'Proposal software', 'Race Against the Machine', 'Siemens NX', 'Business process mapping', 'Integrated software', 'Research and development', 'Construction estimating software', 'Field service management', 'Axosoft', 'Lotus Foundations', 'Software diagnosis', 'Digital firm', 'SoftwareONE', 'Legacy system', 'Software bloat', 'Fundo', 'Quickoffice', 'Programmer', 'Office Business Applications', 'Strategic planning software', 'Outsourcing', 'OpenDisc', 'Prezi', 'Mavenlink', 'New economy', 'Systems analyst', 'Rational Unified Process', 'The Accelrys Enterprise Platform', 'Consumerization', 'Office 365', 'Network agility', 'CodeGear']","['2616', '639009', '14435941', '31200881', '3927666', '22860272', '4746507', '1155559', '1037763', '13589812', '42005', '20252949', '1776682', '34900000', '6603087', '2302514', '2325864', '12776881', '13330152', '23376481', '13179385', '18295', '21716479', '2798441', '357616', '424899', '29345392', '10780500', '36731269', '34048942', '254769', '28287964', '39849648', '36813043', '7757252', '30888839', '179683', '248932', '23407868', '42505492', '27010', '21660525', '13125564', '3019875', '780960', '1301906', '29090', '2416235', '7206282', '7962123', '18132786', '20391794', '30229045', '9646826', '423582', '29273223', '10747210', '13456887', '235890', '23948922', '23716', '22405831', '233624', '335766', '6163915', '12098689', '36140820']"
496,496,Accounting and Financial Software,"['Accounting software', 'Financial software', 'Accounting', 'Microsoft Office Accounting', 'Accounting scandals', 'Project accounting', 'Financial audit', 'Bookkeeping', 'Accounts receivable', 'Application software', 'Child care management software', 'Financial modeling', 'Environmental accounting', 'Microsoft Small Business Financials', 'Personal financial management', 'Accounts payable', 'Society for Worldwide Interbank Financial Telecommunication', 'Carbon accounting', 'Financial cryptography', 'Financial analyst', 'Bank statement', 'Human resource accounting', 'Continuous accounting', 'ZipBooks', 'Software quality', 'Financial centre', 'Rental management software', 'Software bug', 'MRI Software', 'SimPRO Software', 'Amiga software', 'Backflush accounting', 'Personal finance', 'KMyMoney', 'Pronto Software', 'International Bank Account Number', 'SAP ERP', 'Tally Solutions', 'GnuCash', 'Acumatica', 'Wind energy software', 'CaseWare International', 'Revenue recognition', 'Comparison of project management software', 'Fundamental analysis', 'Trusteer', 'Payroll service bureau', 'Financial Management Service', 'Personal budget', 'Total cost of ownership', 'Visma', 'Costpoint', 'Shopping cart software', 'Odoo', 'XBRL GL', 'Online banking', 'Misys', 'Outright', 'Envestnet', 'Electronic trading platform', 'Cheqbook', 'History of information technology auditing']","['2593', '23550312', '13277642', '454780', '454789', '21424283', '4334877', '454746', '11287415', '6222190', '4662', '5362623', '31352798', '13589812', '2265048', '53404278', '3243884', '3546617', '782266', '224702', '6418587', '222858', '2844974', '41667831', '11684', '12880', '17116610', '15253', '8099930', '31493776', '2675098', '13473225', '5720321', '3663768', '341987', '42229505', '912142', '24791081', '8903640', '2174219', '5600372', '53672717', '48113', '37085', '1301906', '50466431', '26097859', '17199167', '49539110', '40642580', '13431632', '21010744', '50091750', '1980416', '10797223', '47057698', '713996', '26779874', '4431301', '508666', '2885510', '21702286']"
497,497,Calendar and Scheduling Software,"['Appointment scheduling software', 'Calendar', 'Surgical scheduling software', 'Sun Java System Calendar Server', 'Meeting scheduling tool', 'Law practice management software', 'Project management software', 'FastTrack Schedule', 'Application software', 'Islamic calendar', 'ICalendar', 'Software prototyping', 'CalDAV', 'Contact manager', 'Comparison of wiki software', 'Mozilla Sunbird', 'Ecco Pro', 'Siscog', 'Genie Workbench', 'Software reliability testing', 'DAViCal', 'SabreDAV', 'KDE Software Compilation 4', 'Borland Sidekick', 'EGroupware', 'Windows Task Scheduler', 'Microsoft Project', 'IBM Office and Document Processing System', 'Online diary planner', 'Celtx', 'Zocdoc', 'Ubidesk', 'GroupWise', 'IBM Workplace', 'Task management', 'Enterprise coexistence', 'IBM Notes', 'SOGo', 'History of calendars', 'Project management triangle', 'IBM Lotus iNotes', 'Intaver Institute', 'GNOME', 'DHTMLX', 'Netscape Portable Runtime', 'Java Desktop System', 'Mobile app', 'OwnCloud', 'Integrated master plan', 'IOS version history', 'Microformat', 'Concerto Signage', 'Nokia C7-00', 'Spiral model', 'Personal digital assistant', 'Collaborative workflow', 'HP NewWave', 'G Suite', 'Glossary of project management', 'Enterprise project management', 'Microsoft mobile services', 'JQWidgets', 'MDaemon', 'Year', 'Nextcloud', 'Collaboration tool', 'Human resource management system', 'Isra University', 'MacOS Server', 'OpenEMR', 'Windows Live', 'Healthcare Cost and Utilization Project', '.NET My Services', 'Embedded hypervisor', 'Outlook Mobile', 'Group information management']","['454746', '3277841', '337883', '1482329', '5377', '3571085', '1550921', '23097307', '26472153', '28395344', '13905376', '4398814', '52993539', '8343747', '23715667', '22250106', '30871420', '295888', '3013195', '60408', '45467408', '2590937', '301736', '46317456', '13884766', '14810', '417018', '2294442', '12280293', '22162830', '1126158', '33496160', '479337', '1239483', '26953384', '33594304', '206011', '20506166', '508371', '31208256', '23799409', '1090852', '33429735', '7476026', '26084601', '3343144', '26157852', '11167982', '32417831', '3036013', '624665', '36979486', '47958678', '21577832', '1436549', '9651444', '20052202', '19956687', '629225', '23762941', '48708998', '18195583', '4924218', '48833956', '22813428', '47086', '2346998', '36793848', '51708977', '28835887', '2526415', '43992753', '23304', '149504', '3060584', '34341']"
498,498,Presentation Software,"['Presentation program', 'Church software', 'FlowVella', 'Presentation slide', 'Harvard Graphics', 'Presentation technology', 'Relational presentation', 'Corel Presentations', 'Microsoft PowerPoint', 'Graphic art software', 'Application software', 'Mathematical software', 'Presentation Manager', 'MagicPoint', 'Free software', 'Software architecture', 'Presentation logic', 'Adobe Presenter', 'Productivity software', 'Online video presentations', 'OpenDocument software', 'Software development', 'Software as a service', 'Free Software Magazine', 'NeoOffice', 'Ubuntu Software Center', 'Slidecasting', 'Pagination', 'Software archaeology', 'Rational Software', 'IBM Docs', 'PTScientists', 'Wiki software', 'Comparison of OpenDocument software', 'Apache OpenOffice', 'Advanced Function Presentation', 'Scigress', 'Virtual Instrument Software Architecture', 'Rapid serial visual presentation', 'Multimedia', 'Comparison of wiki software', 'Software Publishing Corporation', 'Free Software Directory', 'Solution stack', 'Architectural pattern', 'AuthorSTREAM', 'Software blueprint', 'VDPAU', 'ISpring Suite', 'Audience response', 'Value stream mapping software', 'Waterfall model', 'Moovly', 'Separation of presentation and content', 'Software Process Achievement Award', 'Web application', 'IPM', 'Comparison of Office Open XML software', 'Abstract management', 'Connectipedia', 'Wii U system software', 'Abas ERP', 'Software architecture description', 'Product bundling', 'SoftMaker', 'SlideShare', 'Comparison of remote desktop software', 'Software evolution']","['42466340', '1770087', '34040115', '454746', '5277267', '15767547', '4102341', '2797623', '1550921', '3438555', '43074653', '2920561', '1543684', '10635', '2979009', '2006097', '40878815', '35325039', '1082215', '1727027', '77229', '20420', '954189', '41873246', '2800885', '28129447', '3999887', '254562', '8764576', '308054', '24475243', '2077488', '29345392', '2138419', '338740', '20786220', '37561040', '20669547', '30517214', '28336398', '48364', '2262333', '7932845', '248932', '2119352', '24327781', '20388902', '2416975', '33164', '34065485', '2920499', '5648093', '20399029', '10689151', '18137613', '616612', '50643936', '234163', '54101072', '28015259', '2199016', '28414705', '37687916', '7917758', '13399001', '33980', '288311', '37209658']"
499,499,Project Management Software,"['Comparison of project management software', 'Project management information system', '2-plan project management software', 'Endeavour Software Project Management', 'Project management', 'Software project management', 'Contract management software', 'Microsoft Project', 'Project management triangle', 'Project cost management', 'Project portfolio management', 'Software configuration management', 'Project management 2.0', 'Software quality management', 'Task management', 'Application lifecycle management', 'PLANTA Project', 'Genius Project', 'Rillsoft Project', 'Project Management Body of Knowledge', 'Project workforce management', 'Software development process', 'Project management simulation', 'Planisware', 'Redmine', 'Software verification and validation', 'Productivity software', 'Trac', 'Project planning', 'ProjectLibre', 'Software development', 'Targetprocess', 'Application software', 'Open Workbench', 'Release management', 'Software categories', 'Traction Software', 'Resource management', 'Employee scheduling software', 'DynaRoad', 'Project', 'Software house', 'Hewlett Packard Enterprise Software', 'Custom software', 'Bachelor of Software Engineering', 'The Bug Genie', 'Severa', 'Software product management', 'Systems management', 'Planbox', 'Configuration management', 'Extreme project management', 'Software maintenance', 'Active Collab', 'Tiki Wiki CMS Groupware', 'Free software', 'Comparison of reference management software', 'Construction management', 'Critical chain project management', 'GroveSite', 'Collaborative project management', 'Doolphy', 'FogBugz', 'Project accounting', 'Bug tracking system', 'Enterprise software', 'Wiki software', 'Construction estimating software', 'Kiwili', 'Software architecture', 'Software engineering']","['33081117', '5476231', '454746', '4759005', '2265048', '49791445', '1776682', '29113360', '6603087', '26874183', '42332604', '12776881', '1126158', '30858961', '31330577', '30864276', '29345392', '160483', '37131078', '203637', '27990429', '24042', '15586051', '25061146', '20274682', '20506166', '75500', '2826751', '7217055', '20189085', '26952327', '1044927', '52573444', '22000838', '30888839', '165180', '248932', '23407868', '212862', '3323271', '4016710', '8967007', '699718', '2726769', '35541897', '3343144', '40435504', '431195', '21778558', '47307544', '898290', '35934538', '9922495', '40948', '20252949', '2026112', '183373', '32128270', '2302514', '25838957', '19817078', '10635', '30657057', '48545013', '29871211', '912142', '48364', '27010', '780960', '421579', '33164']"
