,terms,titles,pageids
613,north american cuisine,"['Global cuisine', 'Arab cuisine', 'Inca cuisine', 'Thalassery Cuisine', 'Medieval cuisine', 'Molecular gastronomy', 'Yakuts']","['2053043', '32302631', '11571392', '7029997', '2623191', '39850424', '483558']"
614,south asian cuisine,"['Thalassery Cuisine', 'Cuisine in Toronto', 'Hyderabadi cuisine', 'Asian supermarket', 'Medieval cuisine', 'Regional cuisines of medieval Europe']","['831621', '3243383', '11659590', '7029997', '9798488', '39850424']"
615,indian cuisine,"['Hyderabadi cuisine', 'Global cuisine', 'Naga cuisine', 'Fusion cuisine', 'Thalassery Cuisine', 'Arab cuisine', 'Levantine cuisine']","['2053043', '11304', '32302631', '11659590', '3099917', '8853213', '39850424']"
616,southeast asian cuisine,"['Burmese cuisine', 'Asian supermarket', 'Char siu', 'Rice noodle roll', 'Banana leaf', 'Mung bean']","['831621', '7467175', '2249745', '2619958', '465839', '4992439']"
617,thai cuisine,"['Mee siam', 'Fusion cuisine', 'Global cuisine', 'Arab cuisine', 'Char siu']","['2053043', '2619958', '11304', '32302631', '2121376']"
618,vietnamese cuisine,"['Vietnamese cuisine', 'List of Vietnamese culinary specialities', 'Bánh mì', 'Vietnamese noodles', 'Cuisine of Houston', 'Vietnamese in New Orleans', 'Nộm', 'Hoisin sauce', 'List of Asian cuisines', 'Limnophila aromatica', 'Oceanic cuisine', 'Bò 7 món', 'Ching bo leung', 'Mì Quảng', 'Gỏi cuốn', 'Vietnamese people in Senegal', 'Bánh xèo', 'Pâté chaud', 'Chả lụa', 'Cambodian cuisine', ""Pig's ear (food)"", 'Vietnamese Canadians', 'Vietnamese Americans', 'Vietnamese iced coffee', 'Tiết canh', 'Rượu nếp', 'Persicaria odorata', 'Bánh tráng', 'Cuisine in Toronto', 'Teochew cuisine']","['857888', '3477144', '3835749', '4750561', '843843', '11657753', '5690158', '3243383', '34625662', '3279262', '47840259', '4057839', '39488410', '12400490', '4354859', '37971229', '40073977', '765422', '11115221', '33623371', '11558718', '6183', '5793408', '316736', '1940597', '32546', '2461806', '43464289', '8843306', '19061879']"
619,vegetarian cuisine,"['Mangalorean cuisine', 'Jain vegetarianism', 'Chettinad cuisine', 'Juinagar', 'Jewish vegetarianism', 'Hyderabadi cuisine', 'Marwari Bhojnalaya', 'Arab cuisine', 'Burmese cuisine', 'Meat analogue', 'Vegetarian bacon', 'Vegetarian ecofeminism', 'Toronto Vegetarian Association', 'Levantine cuisine', 'Vegetarian nutrition', 'Cuisine in Toronto', 'Ovo vegetarianism', 'Tempeh', 'Rashmi Uday Singh', 'HappyCow', 'Tofu skin', 'Nut roast', 'Carrot salad', 'Tassajara Zen Mountain Center']","['2053043', '2249745', '39929318', '2811082', '3243383', '51724705', '11659590', '3587235', '37221444', '3810683', '3099917', '23900167', '23472536', '369403', '13780363', '3388246', '50432911', '7454267', '293037', '1768741', '6229700', '25351704', '47751868', '1074205']"
620,culinary training,"['Culinary art', 'Basque Culinary Center', 'Heny Sison', 'HRC Culinary Academy', 'Chef', 'Training Center Petaluma', 'Le Cordon Bleu', 'Jeong Kwan', 'Streets International', 'Cooking for Dads', 'Bread Project', 'Technical school', 'Vocational education', 'Food photography', 'Personal chef', 'Sunway University', 'Howell Cheney Technical High School', 'Washburn Institute of Technology', 'Canadore College', 'Dietary management', 'Emeril Lagasse']","['43238856', '20444643', '533989', '279684', '28695749', '2597318', '7922795', '10569058', '4448258', '21412640', '11274327', '7793796', '54454917', '492165', '2625722', '37364578', '38241451', '305009', '14546649', '56551', '29187421']"
621,dessert,"['Dessert', 'Dessert wine', 'Dessert spoon', 'Dessert sauce', 'Sorbet', 'Shortcake', 'Snow cone', 'Gelato', 'Pastry chef', 'Chocolate syrup', 'Chocolate pudding', 'Fried ice cream', 'Qatayef', 'Cendol', 'Chocolate brownie', 'Finger bowl', 'Crumble', 'Hard sauce', 'Red bean soup']","['3871113', '497794', '1495466', '2052211', '229274', '7976', '50146951', '1226047', '57098', '17468235', '1092688', '483473', '1703191', '718821', '15139867', '148836', '690984', '857823', '5106456']"
622,healthy eating,"['Healthy eating pyramid', 'Mindless Eating', 'National Healthy Schools Programme', 'Intuitive eating', 'Ellie Krieger', 'Emotional eating', 'Eating recovery', 'Feminist Perspectives on Eating Disorders', 'Ethics of eating meat', 'Weight cutting', 'World Pie Eating Championship', 'Weight management', 'Prevention Institute', 'Cognitive behavioral treatment of eating disorders', 'Local food', 'Freshman 15', 'Academy of Nutrition and Dietetics', 'Scarsdale diet', 'Psychology of eating meat', 'Food addiction', 'Smaller Plate Study', 'HappyCow', 'European Sensory Network', 'The Magazine', 'Wholesome Wave', 'Exercise bulimia', 'Freshii', 'Cookie Monster', 'The Kitchen Library', 'Kitchen Kabaret']","['3088926', '35285545', '18974217', '22569186', '18750792', '42528326', '2857195', '11629336', '1569145', '10989802', '1324898', '29235031', '30865979', '51724705', '1055458', '3709971', '8679088', '233373', '8592536', '30322189', '23570508', '47442082', '341782', '19981063', '43068645', '13778478', '3549164', '26639763', '31288359', '11411213']"
623,salad,"['Caesar salad', 'Potato salad', 'Jello salad', 'Snickers salad', 'Arab salad', 'Fruit salad', 'Carrot salad', 'Chicken salad', 'Waldorf salad', 'Egg salad', 'Tuna salad', 'Word salad', 'Eggplant salads and appetizers', 'Fattoush', 'Eruca sativa', 'Tuna fish sandwich', 'Egg sandwich', 'Burmese tofu', 'Schizophasia', 'Soviet cuisine', 'Vinaigrette', 'Urap', 'Glorified rice', 'Dressed herring', 'Meze', 'Panzanella', 'Green goddess dressing']","['21792468', '9530156', '6880', '39929318', '4151690', '23421937', '425055', '3990873', '16298262', '92422', '5033874', '1310911', '20298930', '3589303', '4087690', '351015', '7026539', '199795', '1717794', '21275235', '4431867', '13846812', '263656', '34864874', '12635705', '198466', '544476']"
624,soup and stew,"['Stew', 'Brunswick stew', 'Oxtail soup', 'Soup', 'Fish soup', 'Turtle soup', 'Guk', 'Goulash', 'Corn stew', 'Perpetual stew', 'Cheese soup', 'Chicken soup', 'Pottage', 'Shark fin soup', 'Chowder', 'Cabbage soup', 'Chicken mull', 'Avgolemono', 'Peasant foods', 'Potage', 'Minestrone', 'Talk Soup', 'Pea soup', 'Blood soup', 'Paomo', 'Tureen', 'Lao cuisine', 'Yong Tau Foo', 'Banku', 'Sinseollo']","['640174', '45400051', '11471401', '1641368', '40933402', '26438398', '20382397', '46461', '46316', '48792591', '19114936', '235662', '17637906', '210008', '20242', '10960882', '15978369', '47863592', '1299938', '959261', '1954906', '10955928', '879354', '14028048', '19651298', '47862723', '426294', '1661489', '4332959', '2049608']"
625,food,"['Food', 'Food security', 'Food processing', 'Food safety', 'Food coloring', 'Food science', 'Food engineering', 'Food preservation', 'Food chain', 'Food desert', 'Junk food', 'Street food', 'Food photography', 'Food drying', 'Food chemistry', 'Fast food', 'Convenience food', 'Frozen food', 'Dog food', 'Pet food', 'Food storage', 'Food irradiation', 'Food allergy', 'Food court', 'Baby food', 'Food systems', 'Food critic', 'Food microbiology', 'Food contaminant', 'Food booth']","['877461', '382599', '236573', '360101', '10646', '679350', '11603393', '32077676', '7888444', '164956', '12376746', '13465541', '5585610', '9677389', '158573', '1515853', '15374', '7073591', '4448258', '10834', '602960', '8053588', '252137', '216361', '292032', '20548520', '339605', '64083', '3884731', '1795705']"
626,baked good,"['Baked beans', 'Baked potato', 'Shirred eggs', 'Quick bread', 'Parchment paper', 'Cookie', 'Cake', 'Brownie', 'Swabian cuisine', 'Sodium stearoyl lactylate', 'Bread machine', 'Viennese cuisine', 'Rusk', 'Pastry', 'Profiterole', 'Ptitim', 'Chocolate pudding', 'Molten chocolate cake', 'Tsoureki', 'Prosphora', 'Custard pie', 'Game pie', 'Bakpia', 'Bisquick', 'Dessert bar', 'Twist bread', 'Sourdough', 'Pie', 'Pumpernickel', 'Au Bon Pain']","['2244754', '178574', '762763', '4597917', '2764747', '1093416', '283820', '57572', '1495466', '7218', '698714', '21318686', '24025135', '3190605', '22456358', '67062', '90796', '697505', '1984471', '20429358', '798684', '1707268', '1070039', '12311634', '340356', '189345', '40042691', '4547920', '24210259', '15307796']"
627,breakfast food,"['Breakfast', 'Full breakfast', 'Instant breakfast', 'Breakfast cereal', 'History of breakfast', 'Bed and breakfast', 'Pancake breakfast', 'Kurdish cuisine', 'Breakfast sausage', 'Free Breakfast for Children', 'Airline meal', 'Youtiao', 'Food', 'Ministry of Food Processing Industries', 'Granola', 'School breakfast club', 'Pinnacle Foods', 'Food truck', 'Food security', 'Junk food', 'Space food', 'Food bank', 'Matzah brei', 'Food extrusion', 'Cinnamon roll', 'Food policy', 'Fast food restaurant', 'Ralcorp', 'Food fortification', 'Regional street food']","['2396851', '334935', '68768', '82776', '335575', '1032733', '54923', '10646', '1551036', '36442869', '4597367', '3766266', '216361', '1326380', '2591920', '10562587', '637186', '39060718', '41031613', '64083', '3912255', '4751028', '10454903', '40306093', '2873347', '21511549', '31530115', '39305181', '6117013', '484999']"
628,candy and sweet,"['Gummi candy', 'Stick candy', 'Lemon stick', 'Bulk confectionery', 'Dessert', 'Pixy Stix', 'Sugar glass', 'Maple taffy', 'Spoon sweets']","['1124590', '7976', '20589273', '42535279', '1657999', '656105', '5470295', '20603258', '4051830']"
629,condiment and dressing,"['The Dream Syndicate', 'Eagle Bus', 'The Infernal Desire Machines of Doctor Hoffman', 'Platonism', 'National Olympic Committee', 'Mann Ranges', 'Rationalism', 'Cartesian doubt', 'Siemens Arena', 'Lycoming O-540', 'Psychoanalytic theory', 'Ten Feet Tall and Bulletproof']","['16265044', '3872525', '3983109', '39332537', '1217591', '2221011', '145880', '63753', '2699083', '5496882', '304987', '1408168']"
630,cooking fat and oil,"['Cooking oil', 'Cooking', 'Sunflower oil', 'Coconut oil', 'Cottonseed oil', 'Palm oil', 'Soybean oil', 'Diacylglycerol oil', 'Oil', 'Vegetable oil fuel', 'Polyunsaturated fat', 'Rice bran oil', 'Unsaturated fat', 'Saturated fat', 'Frying', 'Corn oil', 'Avocado oil', 'Smoke point', 'Ghee', 'Pine nut oil', 'Cooking banana', 'Macadamia oil', 'Safflower', 'Linseed oil', 'Shorea robusta seed oil', 'Gutter oil', 'Poppyseed oil', 'Cod liver oil', 'Walnut oil', 'Social and environmental impact of palm oil']","['5864788', '239915', '212514', '5355', '38945', '47862666', '2249452', '613389', '11539259', '26301130', '212394', '35928584', '295711', '4810999', '4207510', '57561', '5576632', '1610513', '1208398', '2094823', '746513', '264746', '41035114', '2377066', '24082675', '2540803', '2921902', '264748', '3588720', '1208431']"
631,dairy and egg,"['Dairy product', 'Egg', 'Cadbury Creme Egg', 'Egg wash', 'Creme Egg Twisted', 'Ovson Egg', 'Ovo vegetarianism', 'Pareve', 'Wispa', 'Rice protein', 'Butterfat', 'Vegetarianism', 'Powdered milk', 'Spanakopita', 'Sorbet', 'Simplesse', 'Soybean checkoff', 'Frozen custard', 'Chocolate truffle', 'Carton', 'Jewish cuisine', 'Butter', 'Farm', 'Cornucopia Institute', 'Ethics of eating meat', 'Veganism', 'Kosher foods', 'Post Holdings', 'Humane Farm Animal Care', 'Dessert']","['46183', '1814932', '1009575', '698858', '4652053', '29472829', '21381687', '8097', '7976', '484939', '23218400', '2857195', '59790', '567493', '15848293', '1290526', '1260772', '3388246', '9610209', '1742978', '40745011', '657067', '28208108', '1999251', '5106456', '25694334', '187158', '32587', '32591', '1044598']"
632,cheese,"['Cheese', 'Cheese sandwich', 'Cheese knife', 'Cheese curd', 'Processed cheese', 'Cheese analogue', 'Cheese soup', 'Blue cheese', 'Cream cheese', 'Cheese puffs', 'Cheddar cheese', 'Vegan cheese', 'String cheese', 'Government cheese', 'Pizza cheese', 'The Moon is made of green cheese', 'Ham and cheese sandwich', 'Head cheese', 'Gubbeen Farmhouse Cheese', 'Manufacture of cheddar cheese', 'Boursin cheese', 'Creole cream cheese', 'Farmstead cheese', 'Cotija cheese']","['926863', '567753', '6936', '11749910', '13541730', '443767', '17646203', '1823948', '2316124', '26438398', '5246901', '550448', '11080105', '47849246', '2635162', '2144583', '1882965', '87476', '3293198', '25146', '515468', '256198', '22849760', '47270265']"
633,fruit and vegetable,"['Vegetable', 'Vegetable juice', 'Fruit preserves', 'Adjuncts', 'Unusually shaped vegetable', 'Fruit', 'Vegetable box scheme', 'Vegetable bouquet', 'Vegetable wash', 'Vegetable oil', 'Horticulture industry', 'Luffa', 'Fruit allergy', 'Smoothie', 'Ketchup as a vegetable', 'Fruit waxing', 'Disease resistance in fruit and vegetables', 'Juice', 'Dried fruit', 'Freshfel Europe', 'Sanssouci Park', 'Fruit anatomy', 'Gift basket', 'Fruit stand', 'Juice fasting', 'Fruit ketchup', 'Seminis', 'Produce', 'Tephritid Workers Database', 'Chaubatia']","['1747851', '48756751', '179880', '546099', '24063869', '10843', '11477262', '15881720', '50787626', '12143913', '8623365', '37250109', '11224528', '51307532', '25439732', '3981465', '8431117', '80993', '733668', '4648263', '1632339', '8240790', '13255316', '11614084', '5791492', '53518798', '7305586', '1125970', '192331', '35764282']"
634,gourmet and specialty food,"['Gourmet', 'Gourmet Ghetto', 'United Natural Foods', 'Food truck', 'Specialty coffee', 'Weetabix Limited', 'The Great Food Truck Race', 'Camping food', 'Pastry chef', '112 Katong', 'Luxury packaging', 'Coffee Beanery', 'Chute Gerdeman', 'PAI Partners', 'Taco Bell']","['36097989', '22536920', '54149964', '9066385', '1326380', '1241465', '13785274', '44982728', '18395669', '718821', '17753292', '37563', '28356646', '19860793', '288323']"
635,grain and pasta,"['Pasta', 'Durum', 'Wheat middlings', 'Grain quality', 'Wheat', 'Buhler Group', 'Noodle', 'Staple food', 'Healthy eating pyramid', 'Carbohydrate loading', 'Semolina', 'Fat substitute', 'Casserole', 'Fish soup', 'Drugstore beetle', 'Wheat flour', 'WinCos', 'Flour', 'Food group', 'Macrobiotic diet', 'Chicken soup', 'Kelp noodles', 'Spelt', 'Raw veganism', 'Vegetarian cuisine', 'Bulk foods', 'Soup', 'Garlic powder', 'Bland diet', 'Triticale']","['21209285', '35541656', '32269642', '346821', '764694', '46461', '1601520', '371830', '5453638', '19114936', '56232', '2953473', '4143236', '38916942', '1055458', '46445382', '20318', '90267', '23871', '2561278', '443480', '19651298', '847308', '47850038', '65085', '32601', '36858', '828090', '11962096', '37341332']"
636,herb and spice,"['Spice mix', 'Herb', 'Spice', 'Herb grinder', 'Seasoned salt', 'Limnophila aromatica', 'Seasoning', 'Coriander', 'Nutmeg', 'Bouquet garni', 'Trigonella caerulea', 'Harissa', 'Cicely', 'Condiment', 'Fennel', 'Aromat', 'Celery salt', 'Cinnamomum burmannii', 'Onion powder', 'Ghormeh sabzi', 'Persillade', 'Mesir macunu', 'Hyssopus officinalis', 'Lovage', 'History of the bushfood industry', 'Medicinal plants', 'Nalewka', 'Aromatised wine', 'Buchanania lanzan', 'Kofta']","['24805898', '44450006', '746196', '22574291', '2782376', '1800761', '8616210', '62155', '341640', '173548', '1635867', '28038024', '24542769', '3297194', '6537051', '20077968', '3046460', '4057839', '480258', '822244', '44796396', '3347840', '38546', '3112548', '6966889', '2023925', '52863', '26897', '803637', '40102507']"
637,"jams, jelly and preserve","['1962 Birthday Honours', 'List of Dutch inventions and discoveries']","['39801053', '5046331']"
638,meat and seafood,"['Seafood', 'Crab stick', 'Meat raffle', 'Shark meat', 'Seafood mislabelling', 'Meat analogue', 'Meat chop', 'Fish as food', 'Cajun cuisine', 'Surf and turf', 'Cultured meat', 'Paella', 'Eating live seafood', 'Quiche', 'Seal meat', 'Sustainable seafood', 'Stew', 'Cat meat', 'Seafood dishes', 'Whale meat', 'Shrimp Creole', 'Meat tenderness', 'I fu mie', 'Elephant meat', 'Tze Char', 'Lo mein', 'Kinilaw', 'Lamb and mutton', 'Drunken noodles', 'Fish soup']","['6186', '5625640', '47826172', '511626', '5420336', '35881119', '43234129', '2579103', '19114936', '53568898', '14953848', '229275', '3299274', '369403', '8421985', '4467194', '49822862', '47630', '213220', '26866', '36085460', '38156540', '43708146', '47629643', '9651938', '47862723', '1640621', '13761926', '47469033', '20134604']"
639,beef,"['Beef', 'Corned beef', 'Ground beef', 'Beef cattle', 'Chipped beef', 'Roast beef', 'Cut of beef', 'Beef chow fun', 'Beef tongue', 'Beef kway teow', 'Beef III', 'Shredded beef', 'Beef hormone controversy', 'Beef Manhattan', 'Wagyu', 'Beef alternative merchandising', 'Shoulder tender', 'Brisket', 'Cattle feeding', 'Beefsteak', 'Tripe', 'Rouladen', 'Beef ring', 'Steak tartare', 'Tallow', 'Advanced meat recovery', 'Meat extract', 'Taenia saginata', 'Dripping', 'Beef carcass classification']","['435796', '36968', '4332994', '10239929', '39648439', '50791445', '6461408', '47839170', '10632548', '49210246', '12818401', '6777241', '61945', '288125', '1059768', '663000', '71831', '5453492', '2311636', '574518', '3694603', '278000', '3756066', '27612221', '42748765', '825613', '1694575', '212396', '178943', '989184']"
640,fish and seafood,"['Seafood', 'Fish market', 'Seafood mislabelling', 'Seafood restaurant', 'Fish soup', 'Seafood dishes', 'Sustainable seafood', 'Eating live seafood', 'Tsukiji fish market', 'Fish marketing', 'Mercury in fish', 'SeaChoice', 'Seafood pizza', 'Fishing industry', 'Asam pedas', 'Sea Fish Industry Authority', 'Fishmonger', 'Fish meal', 'Ikejime', 'Shellfish', 'Cod as food', 'Fear of fish', 'History of seafood', 'Chowder', 'Crab stick', 'Roe', 'Hsinchu Fish Harbor', 'Overfishing', 'Fish plate', 'Dipping sauce']","['47849884', '46316', '35629101', '47826172', '1781802', '35881119', '15374902', '7332666', '16684864', '4831440', '2826467', '19114936', '491120', '2543043', '35828513', '45417364', '4699823', '19986016', '478962', '294507', '27916147', '14140613', '26866', '36085460', '38156540', '43725730', '42030371', '55037', '13761926', '525323']"
641,pork,"['Pork', 'Pork rind', 'Pork and beans', 'Pork chop', 'Pork barrel', 'Pork tenderloin', 'Pork pie hat', 'Pork and Burns', 'Rousong', 'Cut of pork', 'Char siu', 'Cha siu bao', 'Priority Development Assistance Fund scam', 'Bakkwa', 'Pork blood soup', 'Charcuterie', 'Aspic', 'Sweet and sour', 'Taenia solium', 'Sedum rubrotinctum', 'Sausage', 'Galbi', 'Dripping', 'Carnitas', 'Spare ribs', 'Baozi', 'Ham hock', 'Fatback', 'Head cheese', 'Pork cycle']","['971278', '47836906', '1907296', '3372202', '3768042', '2619958', '2617132', '23848185', '2311636', '210486', '842957', '1087668', '87476', '20609697', '52812933', '2865804', '165754', '43767849', '1621503', '1472653', '753445', '47837676', '7440150', '40283619', '3191788', '78056', '17808920', '6420692', '1017309', '1588158']"
642,poultry,"['Poultry', 'Poultry farming', 'Poultry feed', 'Cannibalism in poultry', 'Pastured poultry', 'Poultry litter', 'Poultry show', 'Dermanyssus gallinae', 'Avian influenza', 'Yarding', 'Hatchery', 'Forced molting', 'Gallid herpesvirus 1', 'Argas persicus', 'Histomoniasis', 'Chick sexing', 'Debeaking', 'Feather pecking', 'Chicken tractor', 'Silkie', 'Chicken harvester', 'Derbyshire Redcap']","['15528831', '442916', '33745761', '42886611', '39783727', '13941354', '198007', '18010882', '11729853', '31079046', '2478240', '4962769', '1239770', '26822817', '622217', '23197', '12116844', '37572712', '6025956', '17278456', '430984', '11801845']"
643,organic and natural food,"['United Natural Foods', 'Natural foods', 'Index of organic food articles', 'Health food store', 'Organic certification', 'Organic farming', 'Organic food culture', 'Organic acid', 'Natural farming', 'History of organic farming', 'Natural product', 'Persistent organic pollutant', 'Health food', 'Erewhon Organic Cereal', 'Food chain', 'Food', 'Dye', 'Volatile organic compound', 'Flavor', 'Soil organic matter', 'Food web', 'Sustainable agriculture', 'Local food', 'Food preservation', 'Phenols', 'Food additive', 'Numi Organic Tea', 'Natural Products Foundation', 'Natural Products Association', 'Outline of food preparation']","['8179', '31758040', '10591', '10646', '11815', '32077676', '10834', '145772', '2053494', '2873962', '3735202', '39843334', '233373', '2312137', '22524405', '30830098', '3133549', '1209760', '35140459', '66286', '412765', '72754', '53295302', '3209485', '1410400', '23865', '13153591', '216143', '19860793', '1014518']"
644,snack food,"['Snack', 'Scooby Snacks', 'Snack bar', 'Flowers Foods', 'Snacking', 'Food truck', 'Cadbury Snack', 'Trail mix', 'Nabisco', 'Convenience food', 'Squid as food', 'Golden Flake', 'Comfort food', 'Regional street food', 'Pork rind', 'Beer Nuts', 'Granola']","['2092543', '4326764', '1286863', '382599', '10325876', '1326380', '19269761', '637186', '241578', '47837676', '31530115', '941678', '49380722', '3870849', '29979736', '17158538', '224030']"
645,food and grocery delivery,"['Online grocer', 'Grocery store', 'Food desert', 'Harts Local Grocers', 'My Cloud Grocer', 'Peapod', 'Food safety', 'Food systems', 'Wegmans', 'King Kullen', 'Sexton Foods', 'Labatt Food Service', 'Food miles', 'Food bank', 'Publix', 'Flower delivery', 'Nutrisystem', 'Food policy', 'Associated Wholesale Grocers', 'Loblaw Companies', 'Seolleung Station', 'Waitrose', 'Supplemental Nutrition Assistance Program', 'Yummly', 'Fruit stand', 'Coupon', 'Convenience store', 'Wellcome', 'Harrods', 'Essendant']","['2914154', '47419', '504897', '4916068', '3451009', '1551036', '9677389', '2732241', '3766266', '8053588', '20548520', '8623365', '239196', '266910', '44846719', '3058864', '45636578', '313750', '54156786', '9665838', '20339648', '2987288', '544694', '5503305', '14753169', '659087', '386090', '423351', '1527921', '27810265']"
646,food and grocery retailer,"['Grocery store', 'Warehouse store', 'Food cooperative', 'Food industry', 'Online food ordering', 'Food rescue', 'Associated Food Stores', 'Wegmans', 'Health food store', 'Food distribution', 'Fake food', 'Fiesta Mart', 'Somerfield', 'FoodLand', 'Bulk foods', 'Inventory Information Approval System', 'Food bank', 'Retalix', 'Coupon', 'Associated Supermarkets', 'Associated Wholesale Grocers', 'Publix', 'Store brand', 'Food waste', 'Specialty foods', 'Piggly Wiggly', 'Food marketing', 'Supermarket shortage', 'Food irradiation', 'Food miles']","['2914807', '7907043', '2914154', '32269642', '504897', '19653203', '7670237', '2177874', '1551036', '4869226', '508257', '2437974', '15374', '8788317', '2732241', '9958022', '7757190', '239196', '2873962', '8713276', '12056413', '841411', '544694', '20973854', '1144728', '45544699', '876348', '18555852', '2573258', '423351']"
647,bakery,"['Bakery', 'United States Bakery', 'Lundberg Bakery (Austin, Texas)', 'Angel Bakeries', 'List of bakery cafés', 'Antique Bakery', ""Berman's Bakery"", 'Magnolia Bakery', 'The Claxton Bakery', 'Corner Bakery Cafe', 'List of Chinese bakery products', 'Your Black Muslim Bakery', ""Schneider's Bakery"", 'Best Bakery case', 'Boudin Bakery', 'Bakery Music', ""Italian People's Bakery"", ""Yonah Shimmel's Knish Bakery"", 'Bakery Hill, Victoria', 'Perkins Restaurant and Bakery', 'Peters (bakery)', 'Bakery Square', 'Collin Street Bakery', 'Czech Stop and Little Czech Bakery', ""Coco's Bakery"", ""Lamport's bakery algorithm"", 'Arizmendi Bakery', 'Dog bakery', 'Dong Phuong Oriental Bakery', 'Childers Bakery']","['28335207', '4404908', '37509607', '390677', '28221708', '10986115', '31646431', '28333949', '1010831', '2071390', '48555170', '4193407', '3555053', '3258379', '33931221', '12917117', '35973088', '44594035', '2176076', '2463617', '43470905', '5831278', '3554439', '422571', '15121022', '2999303', '1310751', '9968397', '9390601', '47778505']"
648,butcher,"['Butcher', 'Butcher (surname)', 'Calum Butcher', 'Jon Butcher', 'Butcher knife', 'William Butcher', 'Paul Butcher (actor)', 'Jake Butcher', 'Supercollider / The Butcher', 'The Jazz Butcher', 'Herbert Butcher', 'A. J. Butcher', 'Butcher Hollow, Kentucky', 'Jim Butcher', 'John C. Butcher', 'Magnificent Butcher', 'Susan Butcher', ""You've Seen the Butcher"", 'The Chronicles of Riddick: Escape from Butcher Bay', 'Butcher (disambiguation)', 'Bilinda Butcher', 'Lupo the Butcher', 'Butchers Wheel', 'Paul Conway (butcher)', 'Matt Butcher', 'Solomon Butcher', 'The Butcher Brothers', 'Necro Butcher', 'Butcher Bros.', 'Don Butcher']","['5065709', '4158742', '495814', '15331824', '27108202', '3965967', '4763662', '2734358', '29452488', '25280177', '3578231', '8773032', '3095706', '5153848', '3265725', '7126484', '6917632', '7952414', '24561348', '3311274', '2460966', '14032562', '39150324', '31514330', '437810', '23802041', '1310032', '1287092', '4563232', '29636807']"
649,convenience store,"['Convenience store', 'Convenience store crime', 'National Association of Convenience Stores', 'Automated convenience store', 'Convenience', 'Stripes Convenience Stores', 'Confectionery store', 'Convenience food', 'White Hen Pantry', 'Convenience sampling', 'Coldean', 'Otterbourne', 'Ahold Delhaize', 'Department store', 'Peluca', 'Retalix', 'Murphy USA']","['47088667', '52503265', '4955851', '6620773', '1033177', '382599', '52903635', '47419', '18918238', '249171', '4380020', '10334887', '1228458', '1592736', '20973854', '11857002', '4208426']"
650,delicatessen,"['Expatriate delicatessen', 'Appetizing store', 'Nissan Townpod', 'Brackenbury Village', 'Kosher style', 'Lunch meat', 'Roast beef', 'Grocery store', 'Farm shop', 'Forum Venalium', 'Yelvertoft', 'Little Waltham', 'Kosher restaurant']","['2546810', '28078589', '31239265', '29219176', '1720232', '239196', '16582619', '4454019', '24464035', '528261', '29055444', '278000', '1194336']"
651,farmers' market,"['Farmer', 'Free market', 'Darknet market', 'Commodity market', 'Farmer to Farmer', 'Golden Rock Shandy', 'Local food']","['48190', '46716831', '58688', '21921201', '11826', '41966561', '233373']"
652,restaurant,"['Theme restaurant', 'Restaurant rating', 'Fast food restaurant', 'Revolving restaurant', 'Restaurant management', 'Seafood restaurant', 'Bridge restaurant', 'Versailles restaurant', 'Automated restaurant', 'Chain store']","['31976229', '37109244', '449182', '54923', '6974569', '3526475', '1292470', '42030371', '1896403', '13141832']"
653,catering,"['Catering', 'Mobile catering', 'Army Catering Corps', 'Cater', 'Cashless catering', 'Airline meal', 'Aircraft ground handling', 'Dealer Team Vauxhall', 'LSG Sky Chefs', 'Gategroup', 'Union Kitchen', 'Camp Opemikon', 'Basingstoke College of Technology', 'Cafeteria', 'Matron', 'Gudimalkapur']","['1630384', '2396851', '9334292', '5211773', '554471', '8995501', '36718763', '7794706', '631093', '32322584', '26885421', '17558959', '2519930', '3628599', '4159363', '43184360']"
654,dining guide,"['Scuba diving', 'Diving suit', 'Distance line', 'Underwater diving', 'Cave diving', 'Night diving', 'Professional diving', 'Dive center', 'Technical diving', 'Recreational diving', 'Recreational dive sites', 'Commercial offshore diving', 'Glossary of underwater diving terminology', 'Dumpster diving', 'Magellanic diving petrel', 'Dive boat', 'Sidemount diving', 'Land diving', 'Auburn Tigers swimming and diving', 'Dive profile', 'Saturation diving', 'Sinking ships for wreck diving sites', 'Full face diving mask', 'Dive bomber', 'Thermonectus marmoratus', 'Freediving', 'Ice diving', 'Snuba', 'Snorkeling', 'National Board of Diving and Hyperbaric Medical Technology']","['10009034', '291811', '33021579', '496877', '1267583', '179794', '4300016', '9064325', '326538', '8246', '275236', '494877', '36550208', '290534', '27487960', '865711', '23223843', '291263', '506443', '35571934', '494840', '489941', '1266475', '3526480', '18706632', '66733', '1785751', '291242', '23135830', '3543130']"
